time,open,high,low,close,volume,symbol
2024-07-10,59.57,59.57,58.68,58.68,39844,DHT
2024-07-11,58.68,59.38,57.99,58.78,66060,DHT
2024-07-12,58.78,60.57,58.28,60.07,183132,DHT
2024-07-15,61.06,66.03,59.87,66.03,253394,DHT
2024-07-16,67.62,72.58,67.02,72.58,247772,DHT
2024-07-17,77.45,79.13,65.33,73.47,314457,DHT
2024-07-18,78.94,78.94,68.71,71.89,167989,DHT
2024-07-19,69.6,73.38,69.4,69.7,78642,DHT
2024-07-22,67.82,70.5,63.05,70.5,414154,DHT
2024-07-23,70.5,72.48,69.8,70.99,78156,DHT
2024-07-24,71.49,71.49,68.81,70.4,87451,DHT
2024-07-25,68.81,71.29,68.81,70.99,84508,DHT
2024-07-26,70.89,71.39,70.0,70.79,45209,DHT
2024-07-29,70.0,72.28,70.0,70.99,84216,DHT
2024-07-30,70.3,70.99,69.7,70.69,55295,DHT
2024-07-31,70.69,71.39,70.0,70.5,35708,DHT
2024-08-01,70.0,70.5,69.01,69.7,87218,DHT
2024-08-02,68.01,69.5,67.52,68.51,106219,DHT
2024-08-05,68.41,68.41,61.76,67.02,259889,DHT
2024-08-06,66.13,66.13,63.35,63.64,43002,DHT
2024-08-07,63.45,66.33,62.65,65.43,31825,DHT
2024-08-08,64.74,66.03,63.55,65.13,51913,DHT
2024-08-09,64.04,66.52,64.04,66.43,37671,DHT
2024-08-12,64.84,67.32,64.84,66.92,53611,DHT
2024-08-13,64.54,67.42,64.54,66.52,37213,DHT
2024-08-14,65.23,66.72,65.23,66.43,24531,DHT
2024-08-15,66.33,66.43,65.23,66.33,45202,DHT
2024-08-16,66.13,68.41,66.13,67.91,49755,DHT
2024-08-19,68.21,69.5,67.22,68.81,54232,DHT
2024-08-20,68.91,69.5,67.52,68.01,24800,DHT
2024-08-21,68.51,68.81,67.52,68.21,19083,DHT
2024-08-22,67.52,68.81,67.22,68.21,44201,DHT
2024-08-23,67.62,68.61,67.42,68.21,19008,DHT
2024-08-26,67.62,68.81,67.42,68.31,41327,DHT
2024-08-27,67.62,68.41,67.52,68.31,25001,DHT
2024-08-28,68.41,68.51,67.62,67.62,21148,DHT
2024-08-29,67.82,69.6,67.82,68.81,43703,DHT
2024-08-30,68.51,69.4,68.11,68.91,20244,DHT
2024-09-04,68.81,69.5,68.41,69.11,39211,DHT
2024-09-05,69.5,69.5,68.31,68.91,31490,DHT
2024-09-06,69.4,69.4,68.01,68.91,34925,DHT
2024-09-09,68.51,70.0,68.11,68.91,29500,DHT
2024-09-10,68.41,69.01,68.11,68.91,54876,DHT
2024-09-11,68.51,68.91,68.11,68.61,26877,DHT
2024-09-12,68.11,69.4,68.11,68.61,21072,DHT
2024-09-13,68.11,69.01,67.82,68.91,47902,DHT
2024-09-16,68.51,68.71,68.11,68.41,19601,DHT
2024-09-17,68.01,75.16,68.01,71.29,89948,DHT
2024-09-18,73.28,73.28,70.69,71.49,19857,DHT
2024-09-19,70.99,72.28,70.0,71.49,41156,DHT
2024-09-20,70.5,71.89,70.1,71.29,26582,DHT
2024-09-23,71.29,71.89,70.3,71.29,15602,DHT
2024-09-24,71.39,71.39,70.1,70.5,40005,DHT
2024-09-25,70.6,71.29,70.0,70.5,34720,DHT
2024-09-26,70.1,71.29,69.3,70.5,46246,DHT
2024-09-27,69.7,70.99,69.5,70.3,21500,DHT
2024-09-30,69.5,70.5,68.91,70.0,22227,DHT
2024-10-01,69.5,70.3,68.71,69.5,64209,DHT
2024-10-02,69.9,69.9,68.81,69.5,15600,DHT
2024-10-03,69.5,70.4,69.01,69.6,13824,DHT
2024-10-04,69.01,71.39,69.01,70.79,47940,DHT
2024-10-07,70.0,71.39,69.5,70.6,13401,DHT
2024-10-08,69.5,70.79,69.11,70.4,10222,DHT
2024-10-09,70.4,70.4,69.01,69.5,14006,DHT
2024-10-10,69.9,69.9,68.21,69.9,50308,DHT
2024-10-11,68.41,70.3,68.41,70.1,21904,DHT
2024-10-14,68.61,70.4,68.21,68.21,16358,DHT
2024-10-15,69.5,69.5,67.02,68.51,35707,DHT
2024-10-16,67.52,69.3,67.52,68.31,8000,DHT
2024-10-17,67.52,72.38,67.52,70.5,34711,DHT
2024-10-18,70.5,71.39,69.9,70.6,21400,DHT
2024-10-21,70.5,70.6,69.3,70.2,50000,DHT
2024-10-22,70.4,70.4,69.5,70.0,19814,DHT
2024-10-23,69.5,70.3,69.4,70.0,59210,DHT
2024-10-24,69.5,70.1,69.21,69.8,32500,DHT
2024-10-25,69.3,69.9,68.91,69.7,39825,DHT
2024-10-28,69.3,70.0,69.21,69.3,43402,DHT
2024-10-29,69.5,70.0,69.3,69.7,49870,DHT
2024-10-30,70.1,70.4,69.4,69.8,17601,DHT
