Ticker,Formation_Year,P/E,ROE,Revenue_Growth,Debt_to_Equity,Price_t,Price_t+1y,Return_1y
KBC,2023,12.6252065922,0.0011860150540000001,0.06772116075376598,0.6534509051,31.75,27.2,-0.14330708661417324
KDH,2023,40.2832947891,0.000572350772,-0.006363846884828547,0.7059127179,28.55,36.1,0.26444833625218916
LPB,2023,7.5358001234,0.0019157646059999999,0.0029659610139815083,10.2219330605,12.56,29.11,1.3176751592356686
MBB,2023,6.2230229745,0.002345312456,0.0011062647064396971,8.7708852812,15.87,21.83,0.37555135475740387
MSB,2023,6.3091751999,0.0016027737340000001,0.002518156377915578,7.5310252867,10.0,11.65,0.16500000000000004
NAB,2023,6.4573328405,0.001879864642,0.004024577835416968,12.7710998156,12.24,15.95,0.3031045751633986
NKG,2023,57.9662248316,0.000218582483,0.00033586747083240513,1.2561745136,19.2,14.45,-0.24739583333333334
NLG,2023,33.9491797704,0.000526566669,4.254683820129748e-05,1.1142201056,35.76,36.07,0.008668903803132054
NT2,2023,13.8133737675,0.001057191222,-0.0037630300304798414,0.9491346199,22.92,20.14,-0.12129144851657944
OCB,2023,9.1914258752,0.0012278122989999999,0.0014254561999038342,7.4145209517,11.08,11.4,0.028880866425992805
PAN,2023,12.1728350151,0.000874878743,0.0008960298507885675,1.4196399609,19.78,23.75,0.20070778564206262
PC1,2023,62.2114100977,0.000271796512,0.0009206575428637771,1.7831763113,25.04,22.9,-0.08546325878594252
PDR,2023,31.7054494521,0.000774179783,0.03651720281341487,1.1992860154,25.16,20.7,-0.1772655007949126
PHR,2023,13.1189397051,0.0017872952959999998,-0.0020080945718577788,0.6151411874,47.17,53.2,0.1278354886580454
PLX,2023,16.5218295302,0.001123838372,-0.001240706757647187,1.7284201997,32.13,36.28,0.1291627762215997
PNJ,2023,17.2484233703,0.0021600761,0.0017489824992136793,0.4712718957,83.76,97.3,0.1616523400191021
POW,2023,25.3726602271,0.000335327307,-0.0016399166160736812,1.0622294108,11.25,12.0,0.06666666666666667
PPC,2023,11.4293103271,0.000758136923,0.001229452794361658,0.1530888587,12.1,11.15,-0.07851239669421482
PTB,2023,15.1596008089,0.000952779498,-0.0010257652253346057,0.8956827459,54.3,64.46,0.18710865561694287
PVD,2023,31.176227483,0.000410262789,0.0019815490119051275,0.4520485603,28.3,23.4,-0.1731448763250884
PVT,2023,9.4455041058,0.0015178934129999998,0.0012878580140521928,0.9367872432,17.99,20.99,0.16675931072818234
REE,2023,11.7289965173,0.001333350119,-0.003272361815224461,0.6808908366,41.69,58.24,0.3969776924922045
SAB,2023,17.4430261363,0.0017391250120000002,-0.0015307952086080214,0.3363317183,54.02,52.21,-0.03350610884857464
SBT,2023,17.2680571423,0.000592959719,0.0,2.0659869679,12.0,11.91,-0.0074999999999999884
SCS,2023,16.4361645001,0.00359471802,0.0001674925755375316,0.2720478044,65.04,80.0,0.2300123001230011
SHB,2023,5.5957683539,0.00157517018,0.003451712254151729,11.5852760813,8.98,8.9,-0.008908685968819607
SIP,2023,16.1232791469,0.002721503105,0.003276517666843423,4.228441552,53.73,82.27,0.5311743904708729
SJS,2023,43.0179530952,0.000709238242,0.15759801641254442,1.7064075851,69.4,74.0,0.06628242074927945
SSB,2023,15.0907197368,0.00130090791,0.0017819805199616701,7.7838178432,21.04,16.75,-0.2038973384030418
SSI,2023,24.5252039079,0.001011252049,0.005149793727136518,1.9792886939,25.61,26.05,0.017180788754392867
STB,2023,7.1074629014,0.0018299045319999999,0.001376983535219394,13.7459584871,27.95,36.9,0.32021466905187834
SZC,2023,25.6208201636,0.001338033166,0.0032124053562188905,3.0068306923,35.69,42.4,0.18800784533482773
